n,avg_nb_composantes,avg_nb_noise
10,0,10
20,0,20
30,0,30
40,0,40
50,0,50
60,0,60
70,0,70
80,0,80
90,0,90
100,0,100
110,0,110
120,0,120
130,0,130
140,0,140
150,0,150
160,0,160
170,0,169
180,0,179
190,0,188
200,0,197
210,0,207
220,0,215
230,0,220
240,0,226
250,0,234
260,1,237
270,1,238
280,1,243
290,2,238
300,2,236
310,3,233
320,3,225
330,4,222
340,4,213
350,5,202
360,5,193
370,5,179
380,5,170
390,6,149
400,6,142
