n,avg_nb_composantes,avg_nb_noise
10,0,10
20,0,20
30,0,29
40,0,39
50,0,49
60,0,58
70,0,67
80,1,75
90,1,84
100,2,90
110,2,97
120,3,105
130,4,109
140,4,115
150,6,118
160,7,122
170,8,125
180,9,128
190,11,127
200,13,129
210,13,130
220,15,130
230,17,129
240,18,130
250,19,127
260,20,124
270,22,124
280,22,122
290,24,119
300,24,118
310,26,112
320,27,111
330,27,109
340,28,106
350,29,100
360,29,96
370,29,94
380,29,89
390,29,89
400,29,85
