p,avg_nb_composantes,avg_nb_composantes_isolees
0,100,100
0.005,99,99
0.01,95,94
0.015,69,67
0.02,37,36
0.025,21,20
0.03,12,11
0.035,7,6
0.04,4,3
0.045,3,2
0.05,2,1
0.055,1,0
0.06,1,0
0.065,1,0
0.07,1,0
0.075,1,0
0.08,1,0
0.085,1,0
0.09,1,0
0.095,1,0
